数据下载时间：2021-07-01 09:45:04 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/635282951035/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
116,一**静,口味: 40g冰粉5袋+5支30g红糖+5支20g伴侣,好评,很棒一次吃了好多，一袋够自己吃几次了 ,-,-,2021-05-24
117,l**9,口味: 40g冰粉8袋,好评,制作简单，一袋煮出一大锅！棒棒哒 ,-,-,2021-05-15
118,璐**2,口味: 40g冰粉5袋+5支30g红糖,好评,孩子喜欢吃,-,-,2021-05-21
119,我**c,口味: 冰粉5袋+3盒椰果40g,好评,有点怪怪的味道，糖水都盖不了,-,-,2021-06-03
120,柠**7,口味: 40g冰粉8袋,好评,第二次购买了，很好用。 ,-,-,2021-05-15
121,l**0,口味: 40g冰粉8袋,好评,第一次买，不知道好不好,-,-,2021-06-05
122,谢**艺,口味: 40g冰粉1袋,好评,发货快物流快 看着很不错 ,-,-,2021-05-14
123,元**o,口味: 40g冰粉5袋+5支30g红糖,好评,很好吃，红糖味道很浓郁,-,-,2021-05-11
124,陈**团,口味: 40g冰粉1袋,好评,去年买的很好。今年买了继续做 ,-,-,2021-05-20
125,生**n,口味: 40g冰粉50袋商用,好评,二次购买，还不错 ,-,-,2021-05-12
126,t**h,口味: 40g冰粉5袋+5支30g红糖,好评,很好弄，味道不错哟,-,-,2021-05-27
127,夏**水,口味: 40g冰粉1袋,好评,味道不错 爽口 舒滑 ,-,-,2021-05-12
128,f**g,口味: 40g冰粉5袋+5支30g红糖,好评,很好吃 也方便做,-,-,2021-05-18
129,我**0,口味: 40g冰粉1袋,好评,改天再吃，先好评 ,-,-,2021-05-12
130,j**5,口味: 40g冰粉5袋+5支30g红糖,好评,很好吃，也很容易做,-,-,2021-05-10
131,t**7,口味: 40g冰粉100袋商用,好评,挺好😊不错 ,-,-,2021-05-27
132,杨**n,口味: 40g冰粉1袋,好评,失败了不想做了,-,-,2021-06-04
